"","Feature_1_vertexD","Feature_2_vertexD","Feature_edgeD","pcor_coefficient","pcor_pvalue","cor_coefficient","cor_pvalue","cdgo_pvalue","cdgo2_pvalue","pcor_LF1_edge__LF2","pcor_pvalue_LF1_edge__LF2","pcor_LF2_edge__LF1","pcor_pvalue_LF2_edge__LF1","cdgo_adjusted","cdgo2_adjusted"
"268","PC.aa.C42.5","PC.aa.C42.6","Setd5",0.116982892094471,0.802759775334712,0.886812870010999,0.00332441578747433,1.82787118774286e-12,1.59985358294534e-11,0.658812780609764,0.107538554710162,0.618315874045259,0.138868936477295,1.83768813553087e-05,0.000155037107153699
"269","PC.aa.C40.2","PC.ae.C42.2","Setd5",-0.583666982732415,0.168898617785826,0.750683495760113,0.0318597691958857,0,1.71418435002124e-13,0.928400251230919,0.00253435600194129,0.806371007771503,0.0284627455668025,0,1.66145672508833e-06
"270","PC.aa.C40.2","SM.C24.0","Setd5",-0.381690791351612,0.398172684171578,0.777897692405398,0.0230305145474676,0,2.56380472407614e-10,0.895683364953585,0.00637713605830804,0.70141846868102,0.0790422026608195,0,0.00248415346443043
"271","lysoPC.a.C20.4","PC.ae.C40.3","Otud7b",-0.39285860736109,0.383314936967126,0.742319773989685,0.0349337880066758,0,3.73314468227193e-09,0.872234815676295,0.0104494412885558,0.733374902410027,0.0606985462476722,0,0.0361647271151689
"272","PC.aa.C40.2","PC.ae.C38.1","Rpap1",0.624282931119773,0.133995372208489,0.835493020061352,0.00980190999707631,0,7.51687601052709e-12,-0.344541872228808,0.449177525206627,-0.333894961873987,0.464223849489304,0,7.28462934749264e-05
"273","PC.aa.C30.0","PC.aa.C32.0","Btbd19",-0.481319389400949,0.274149861271171,0.736176185998967,0.0373030343943497,2.68438604678067e-11,0,0.789701082763709,0.0346560469215532,0.880552108456375,0.00887213401840278,0.000269846162501696,0
"274","C16","C5.1.DC","Slc25a1",-0.958332830529982,0.000665541429182188,-0.765334302875444,0.0268873712677926,0,1.72504233120208e-11,0.906510132722578,0.00487820322134295,0.907265698397377,0.00478223696962649,0,0.00016716826317964
"275","C14.1","lysoPC.a.C20.3","Acad11",-0.949580909402347,0.00106686368741177,-0.77099349175854,0.0251042812883591,0,1.96791472006908e-11,0.882714852590336,0.00848620920661716,0.883456026366875,0.00835622901138747,0,0.000190702920975339
"276","PC.aa.C32.2","PC.aa.C34.4","Arfip1",0.586359057432666,0.166460601329838,0.860877977928798,0.00604888833882589,0,0,-0.392410751044543,0.38390638738603,-0.375743542885411,0.406176735721317,0,0
"277","lysoPC.a.C18.0","PC.aa.C34.1","Colec11",-0.340449326223611,0.454939333896116,0.753642242758282,0.0308136211794543,7.99360577730113e-15,3.91806276311968e-09,0.848539164181269,0.0157770030138513,0.724933300342211,0.0652916768275064,8.03789435011027e-08,0.0379559783436423
"278","lysoPC.a.C18.0","PC.aa.C36.0","Colec11",-0.268073705181466,0.561078532128891,0.789003800975295,0.0199241732603932,1.24344978758018e-14,1.6818701986665e-10,0.814612841345307,0.0256507217422326,0.719327505301591,0.0684419411036385,1.25032643794043e-07,0.00162965586560082
"279","lysoPC.a.C18.0","PC.aa.C40.2","Colec11",-0.20055333176567,0.666335707873221,0.82833219870133,0.0110750788745571,4.88498130835069e-15,7.105427357601e-14,0.76264409048311,0.0461714088231801,0.737456312392141,0.0585427336286437,4.91212031050736e-08,6.88705981133353e-07
"280","PC.aa.C36.0","PC.aa.C42.5","Colec11",-0.494241452953744,0.259556172919508,0.7387175872679,0.0363114416219088,3.64819285891826e-13,2.22044604925031e-16,0.820682313541645,0.0236844762185907,0.862503622665054,0.0124858691097601,3.66800072204576e-06,2.15252127233611e-09
"281","lysoPC.a.C18.0","PC.ae.C40.3","Colec11",-0.479181971832668,0.276598539964486,0.79815918939777,0.0175709838028952,0,0,0.842372999376631,0.0173714435771736,0.843284161483376,0.0171303239832291,0,0
"282","lysoPC.a.C20.4","PC.ae.C40.3","Colec11",-0.44496111082583,0.317113985549327,0.742319773989685,0.0349337880066758,6.61715127137086e-11,0,0.776530880026872,0.0400333720659009,0.869993455925122,0.0109000724323801,0.000665151149106258,0
"283","C4.1","lysoPC.a.C16.1","Usp45",-0.259741864622221,0.573771333346701,0.806267843343473,0.015639057304573,2.99185121122036e-11,0,0.701172124530537,0.0791937065400154,0.82897505577718,0.0211400618734747,0.000300752312623497,0
"284","C14.1","C18.1","Sptan1",-0.0558389099653749,0.905352637880136,0.843543776550501,0.00848621046266085,1.22124532708767e-14,9.62234958379327e-10,0.775907089191907,0.0402987516406194,0.613545207534304,0.142828760030963,1.22799979074273e-07,0.00932263745013207
"285","C12.1","C18.1.OH","Sptan1",-0.219494650707657,0.636285224518922,0.819127058925349,0.0128589877356187,1.61274105181519e-10,0,0.647020826742796,0.116237330177532,0.849113831510533,0.0156328501712711,0.00162103102464384,0
"286","C14.1","C18.1.OH","Sptan1",0.286834792606415,0.532835979446924,0.924381415854467,0.00102061929160602,5.40856248676391e-12,4.66293670342566e-14,0.523278355975838,0.228105504850917,0.6258936947743,0.132694934624223,5.43735983686844e-05,4.51968942272174e-07
"287","C12.1","C14","Bsdc1",0.237239545697427,0.608487220353367,0.899342596591369,0.00236102563570295,1.03038244603226e-10,3.58779517206642e-09,0.638422740769182,0.122800361004635,0.540574614606084,0.210276984403258,0.00103570632909266,0.03475679801955
"288","C12.1","C16.2.OH","Bsdc1",-0.368769461249017,0.415642585116454,0.753811734499286,0.0307543412834008,0,3.410403071058e-09,0.871687554742816,0.0105584600331932,0.718020933631157,0.0691876799184978,0,0.033038453681431
"289","C16.OH","C16.2.OH","Zscan22",0.536516231631147,0.2143985295222,0.896700593524564,0.00254662327948729,1.04007713552789e-09,0,-0.344878364651016,0.448705008313476,-0.523590179927214,0.227778029875757,0.0104529447446284,0
"290","PC.aa.C42.5","PC.ae.C38.1","Ube2h",-0.403146340512836,0.369830991926953,0.812403908967931,0.0142697853251861,6.66133814775094e-16,0,0.760366105875573,0.047224447692219,0.871055395853563,0.0106852022326637,6.69865629632227e-09,0
"291","PC.aa.C42.6","PC.ae.C38.1","Ube2h",0.00169404283539123,0.997124107688601,0.857982460682067,0.0064198097746313,3.18500870122307e-09,2.22044604925031e-16,0.548898171333459,0.201943422275179,0.792966432238914,0.0333892044105018,0.0320071461613054,2.15252127233611e-09
"292","PC.ae.C38.1","SM.C24.0","Ube2h",-0.0830139412080126,0.85955624650512,0.874580314333257,0.00447985478756707,0,1.77635683940025e-15,0.765677867034983,0.0447892315633302,0.660231696100751,0.106515466494318,0,1.72193157510492e-08
"293","C14.2","C14.2.OH","Zfp873",-0.395155298918555,0.380287674167231,0.709690317935524,0.0486230685280931,6.8545702447409e-10,9.57097068265966e-10,0.805669376593283,0.0287097339284804,0.802088394222562,0.0299889687028662,0.00688916937350825,0.00927286365880686
"294","C16.2","C16.2.OH","Ufm1",0.289218967169875,0.529281554197003,0.928570420237538,0.000863004060792649,9.48285894253331e-11,0,0.321391448922027,0.482125550611006,0.787233258484689,0.0356309283035646,0.00095319023924123,0
"295","PC.aa.C36.0","PC.aa.C40.2","Egfl7",0.283457870858997,0.537884031616573,0.918388216052775,0.00127711365993521,3.04013259011526e-10,1.00142116821189e-13,0.477171231073653,0.278911028269361,0.666663867564699,0.101941446539462,0.00305564000244418,9.70635678942954e-07
"296","Kynurenine","PC.aa.C40.3","Bcl2l2",-0.296053049235431,0.519137645567319,0.808276621708279,0.0151821045213407,1.28006494293231e-10,0,0.65333508847172,0.111535820220042,0.886513619426236,0.00783223156522715,0.00128666290967416,0
"297","lysoPC.a.C16.0","PC.aa.C40.3","Bcl2l2",-0.442102350182182,0.320608013241928,0.76380233360076,0.0273831168284642,4.02512023711665e-10,0,0.712821782995094,0.0721981968512019,0.918089977446578,0.00352751023595224,0.00404558515593822,0
"298","lysoPC.a.C18.1","PC.aa.C40.3","Bcl2l2",-0.672648031399967,0.0977800232835624,0.798675043883337,0.0174438629560036,0,0,0.86721752374574,0.0114734008907475,0.936475975334665,0.001887370059505,0,0
"299","Kynurenine","PC.ae.C38.1","Bcl2l2",-0.552540578349438,0.198347476778796,0.761069886017781,0.028281254734843,6.41708908233341e-14,0,0.800261625778602,0.0306535882039889,0.917401617711395,0.00360072332389574,6.45229066620346e-07,0
"300","lysoPC.a.C18.1","PC.ae.C38.1","Bcl2l2",-0.673566544193072,0.0971493163657238,0.784910596933167,0.0210365038297238,0,0,0.875597533096637,0.00979381050697025,0.929246159762366,0.00246130603445131,0,0
"301","lysoPC.a.C20.3","PC.ae.C38.1","Bcl2l2",-0.596785545091676,0.157183868750538,0.730795981228832,0.0394562454745935,3.11306536104894e-12,0,0.808772916224545,0.0276262723964072,0.93136815121659,0.00228355003184185,3.12971310068022e-05,0
"302","PC.aa.C40.3","PC.ae.C38.1","Bcl2l2",0.410943852354658,0.359743196870349,0.947633629738472,0.000345050389075618,3.33066907387547e-15,4.09006162271908e-13,0.580551091222798,0.17174229226637,0.467221867027405,0.290480040417274,3.34919958433488e-08,3.96414130454659e-06
"303","PC.aa.C42.6","PC.ae.C38.0","Mapkapk3",-0.142064943708554,0.76124944581756,0.847754629972434,0.00784543543277039,0,7.95119525776045e-12,0.823207035119602,0.0228925244532006,0.627710381547528,0.131235986795601,0,7.70550889013233e-05
"304","PC.ae.C38.0","SM.C24.0","Mapkapk3",-0.512933890110534,0.239093847896192,0.724721461887429,0.0419762100714534,1.06581410364015e-14,1.56319401867222e-13,0.854380720829632,0.0143467089673069,0.839716076098685,0.0180855112162705,1.07171199914546e-07,1.51511642343394e-06
"305","lysoPC.a.C14.0","lysoPC.a.C18.1","Tmx1",0.674770826384237,0.0963256237968121,0.807654714146799,0.0153226657189567,0,0,-0.270230154036225,0.557808147407182,-0.272031013120524,0.555081755684692,0,0
"306","PC.aa.C40.3","PC.aa.C42.6","H2.L",0.113580203670055,0.808421579110653,0.935832096452237,0.000629150810399048,0,0,0.7685628439903,0.0434962624089852,0.518387917265449,0.233270240202159,0,0
"307","PC.aa.C40.3","PC.ae.C36.3","H2.L",-0.49166450519178,0.262437520789582,0.801508563901298,0.0167558728423534,0,2.1316282072803e-13,0.943808826041076,0.00139451727002956,0.716673350787063,0.0699613780528617,0,2.06604440222691e-06
"308","PC.aa.C42.6","PC.ae.C38.1","H2.L",-0.0943924487397355,0.840467335814568,0.857982460682067,0.0064198097746313,0,7.26751991919628e-12,0.808920178099269,0.0275754429954029,0.610548831860872,0.145344582558048,0,7.04298625753275e-05
"309","PC.aa.C40.3","PC.ae.C38.2","H2.L",-0.403764963570923,0.369026471486864,0.810547839190002,0.0146756643772086,0,5.49293943663542e-12,0.935048584622827,0.00199362773417647,0.66211485040852,0.10516549816488,0,5.32330098801381e-05
"310","PC.aa.C42.6","PC.ae.C38.2","H2.L",-0.507180013906543,0.245309922011891,0.762247947928637,0.0278918409883193,0,2.69362310234556e-12,0.914799211777636,0.00388549754077512,0.76939716987388,0.0431262269436709,0,2.61051486323272e-05
"311","PC.aa.C40.3","PC.ae.C42.2","H2.L",-0.112896141963891,0.809560613216407,0.888432915788925,0.00318773090517155,0,1.11022302462516e-15,0.87099804390127,0.0106967438498431,0.548597287937404,0.202241855517684,0,1.07621644929168e-08
"312","PC.ae.C38.1","PC.ae.C42.2","H2.L",-0.647969268659408,0.115524733846242,0.739594000878718,0.0359732600621954,0,0,0.886645747412206,0.00781002953473787,0.899417710930715,0.00583372283668524,0,0
"313","PC.ae.C38.2","PC.ae.C42.2","H2.L",-0.549724423159233,0.201124987080843,0.707455702267677,0.0496618674110398,1.43658418494397e-11,0,0.82369375967247,0.022741595277004,0.889717635701394,0.00730409309146436,0.000144416762553945,0
"314","PC.ae.C40.1","PC.ae.C44.5","Iws1",-0.363512315358972,0.422834255288781,0.76907871615793,0.0256991264997755,0,2.19457785277655e-10,0.862436181593419,0.0125007114998821,0.729989934333467,0.0625185810982595,0,0.00212641602033159
"315","lysoPC.a.C28.0","PC.aa.C26.0","Fank1",0.657689501542511,0.108352082812055,0.816144002400754,0.0134735455018937,0,6.60671517493938e-12,-0.297428775801077,0.517103726226428,-0.293326087499423,0.523177320628469,0,6.40262317244122e-05
"316","C3","lysoPC.a.C20.3","Ddx59",0.506682110099162,0.245851294066789,0.918421943952731,0.00127556413898788,7.82707232360735e-13,1.19060317160802e-12,-0.465232791246532,0.292817997059507,-0.461316485273965,0.297445446090298,7.86935260288501e-06,1.15390425756701e-05
"317","Kynurenine","PC.aa.C36.0","Nr1h2",-0.114449160901669,0.806975062664933,0.824655314865492,0.0117674803781684,3.55882412428343e-09,6.43929354282591e-15,0.623766688315329,0.134413520791133,0.801461865852142,0.0302159958223895,0.0357634563897693,6.24179654629131e-08
"318","C14.1.OH","C16.2","Zfp617",0.21135330610179,0.649155435015226,0.911972459243595,0.00159467845317751,1.47781786807855e-11,1.11022302462516e-15,0.515422994515803,0.236427772438139,0.688938523484273,0.0869117912532933,0.000148561690409555,1.07621644929168e-08
"319","C16.2","C16.2.OH","Zfp617",0.319599117235626,0.484711744379185,0.928570420237538,0.000863004060792649,5.12923037376822e-14,2.05748751369583e-11,0.629877728223406,0.129506175450133,0.490444611708129,0.263806566155607,5.15740472328829e-07,0.000199382617528831
"320","C14.2.OH","C18.2","Zfp617",-0.372691349273728,0.410308911670209,0.742669932739622,0.0348016033281517,4.1471897027634e-09,4.66293670342566e-15,0.736479134559732,0.0590550328210214,0.857265086355198,0.0136689874228066,0.0416755738083161,4.51996733374927e-08
"321","C12.1","C16.2","Gm3435",0.206384629552652,0.657044576007475,0.8975442486197,0.00248636727886753,2.69924083085016e-11,5.06773512043424e-10,0.638643260983642,0.122629720145294,0.56737332991094,0.184026495025647,0.000271339349037447,0.00491010119241909
"322","C5.1.DC","SM..OH..C24.1","Slc19a2",-0.525422352467654,0.225858362046124,0.714184773240526,0.0465736502042375,4.44089209850063e-16,7.80020492641143e-12,0.876092469834518,0.00969937389082915,0.822997965197398,0.0229575283801096,4.46580994406532e-09,7.55918951447221e-05
"323","C12.1","C14.1","D10Wsu102e",0.485461493973345,0.269432534731982,0.948963934075829,0.00031974072496288,7.26239068882251e-11,3.33495453475052e-10,0.515895162098257,0.235923605868831,0.458979202722318,0.30022239125869,0.00073000708766724,0.00323129280896506
"324","C12.1","C14.2","D10Wsu102e",0.231028697469208,0.618176027380152,0.909641297187438,0.00172164526611418,2.55351295663786e-14,2.5221580379764e-10,0.689983890683967,0.0862373970312704,0.494555373326628,0.259206162807873,2.56758894146003e-07,0.00244380391972121
"325","C12.1","C16.2","D10Wsu102e",0.172196248111709,0.711985234819286,0.8975442486197,0.00248636727886753,6.21724893790088e-15,5.60200108523645e-10,0.723421620185406,0.0661333168300983,0.502534414772752,0.250382493522733,6.25174223500835e-08,0.00542771386827301
"326","C3","lysoPC.a.C16.0","D10Wsu102e",0.498200552802148,0.255157737129706,0.926790461524218,0.000927869219708777,0,0,-0.481371355203866,0.274090450064867,-0.461845710025458,0.296818249320611,0,0
