"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"C12.1","C14.2",1,"D10Wsu102e","0.231028697469208","0.909641297187438",0.231028697469208,0.909641297187438,"0.689983890683967","0.0862373970312704","0.494555373326628","0.259206162807873","hyperlink",0.2,"ACC","ACC"
"C12.1","C16",1,"Epc2","-0.199302773112345","0.81179996442621",-0.199302773112345,0.81179996442621,"0.763609412263378","0.0457291053650096","0.730079144437741","0.0624702410177874","hyperlink",0.2,"ACC","ACC"
"C12.1","C16.1",4,"Ercc3;Epc2;LOC100042279;LOC100042443","-0.0337639793705311;0.0392265748693888;0.588091497861948;0.588091497861948","0.859323041571456;0.859323041571456;0.859323041571456;0.859323041571456",0.295411397805688,0.859323041571456,"0.662234097780732;0.659475924285648;-0.353096952760236;-0.353096952760236","0.105080315489198;0.107059771978146;0.437222460259295;0.437222460259295","0.722848501737856;0.668768774955465;-0.410600546497996;-0.410600546497996","0.0664539246924819;0.100467341106325;0.36018490993506;0.36018490993506","hyperlink",0.8,"ACC","ACC"
"C12.1","C16.2",4,"Ercc3;Gm3435;D10Wsu102e;Cox5a","0.101241019986539;0.206384629552652;0.172196248111709;0.534274432550958","0.8975442486197;0.8975442486197;0.8975442486197;0.8975442486197",0.253524082550464,0.8975442486197,"0.501520511240137;0.638643260983642;0.723421620185406;-0.379127147177965","0.251495942550471;0.122629720145294;0.0661333168300983;0.401615197234968","0.775551788868514;0.56737332991094;0.502534414772752;-0.494654968128198","0.0404503407714864;0.184026495025647;0.250382493522733;0.259095163201804","hyperlink",0.8,"ACC","ACC"
"C12.1","C16.2.OH",2,"Ercc3;Bsdc1","-0.557262575460822;-0.368769461249017","0.753811734499286;0.753811734499286",-0.46301601835492,0.753811734499286,"0.874775382861385;0.871687554742816","0.00995184782320032;0.0105584600331932","0.854156443868255;0.718020933631157","0.0144001927702795;0.0691876799184978","hyperlink",0.4,"ACC","ACC"
"C12.1","C18.1.OH",2,"Epc2;Sptan1","-0.120919679163007;-0.219494650707657","0.819127058925349;0.819127058925349",-0.170207164935332,0.819127058925349,"0.746100014806777;0.647020826742796","0.0541165504130571;0.116237330177532","0.690693351394806;0.849113831510533","0.0857812883514717;0.0156328501712711","hyperlink",0.4,"ACC","ACC"
"C12.1","C18.2",1,"Epc2","-0.152295655945703","0.828933418639553",-0.152295655945703,0.828933418639553,"0.733362492663154","0.0607051655909452","0.731564358257885","0.061668422031122","hyperlink",0.2,"ACC","ACC"
"C14","C14.1",1,"Ercc3","0.307754123314798","0.958456298997032",0.307754123314798,0.958456298997032,"0.476675851190876","0.279482075449017","0.668669650619895","0.100536508023284","hyperlink",0.2,"ACC","ACC"
"C14","C14.1.OH",1,"Zfp330","0.0427799760837551","0.89889779395381",0.0427799760837551,0.89889779395381,"0.704429108676378","0.0772031155833959","0.637260620842206","0.123701631890445","hyperlink",0.2,"ACC","ACC"
"C14","C14.2",1,"Zfp330","0.235665694535277","0.907432793700968",0.235665694535277,0.907432793700968,"0.694050321556861","0.0836404737083205","0.484078323656871","0.271003675096706","hyperlink",0.2,"ACC","ACC"
