"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"PC.aa.C36.0","PC.ae.C44.4",1,"Ddhd2","-0.266674487599061","0.76270478246521",-0.266674487599061,0.76270478246521,"0.755374839311795","0.0185875921805321","0.772884725414499","0.014601600073839","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.0","PC.ae.C44.5",1,"Ddhd2","-0.541101354557082","0.760956824562873",-0.541101354557082,0.760956824562873,"0.821667019281697","0.00659245722583832","0.894513564810463","0.00113063848661245","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.1","PC.aa.C38.3",1,"Psmc3","-0.465803531109627","0.78392564836693",-0.465803531109627,0.78392564836693,"0.916072521430291","0.000519065196656874","0.739487435677048","0.0227772393098042","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.1","PC.aa.C38.5",1,"Ints1","-0.34759815954103","0.698469459917484",-0.34759815954103,0.698469459917484,"0.767288576936923","0.0158061910053982","0.801848004215342","0.0093381753275023","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.1","PC.aa.C40.5",1,"Psmc3","-0.567146713952336","0.708828678410792",-0.567146713952336,0.708828678410792,"0.944497154135592","0.000125594148899969","0.760552683719946","0.0173418669180516","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.2","PC.aa.C36.4",1,"Ubxn2a","0.125032088081905","0.861744615159573",0.125032088081905,0.861744615159573,"0.546512292718913","0.12788353797748","0.706177496738288","0.0334812607375582","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.2","PC.aa.C38.6",1,"Gale","0.00361845955866767","0.88401690641111",0.00361845955866767,0.88401690641111,"0.85776986907233","0.00310008999471814","0.464832817273697","0.207413590882573","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.2","PC.ae.C36.5",1,"Cstf2","-0.533108860348151","0.642885450409424",-0.533108860348151,0.642885450409424,"0.846590404412596","0.00399396829992762","0.845520452562681","0.00408781510985917","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.3","PC.aa.C36.5",1,"Pum3","-0.479478492268176","0.702945969095525",-0.479478492268176,0.702945969095525,"0.762164616621067","0.0169657156334744","0.895199858322034","0.00110586784905585","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.3","PC.ae.C42.0",1,"Borcs5","-0.238529196502923","0.768542114574737",-0.238529196502923,0.768542114574737,"0.609243334405043","0.0815856863684277","0.87528377072537","0.0019925015407365","hyperlink",0.166666666666667,"PC","PC"
